ปีที่เกิดเหตุ,หน่วยงาน,สายทาง,ก.ม.,จังหวัด,บริเวณที่เกิดเหตุ/ลักษณะทาง,มูลเหตุสันนิษฐาน,ลักษณะการเกิดอุบัติเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,จำนวนรถที่เกิดเหตุ(รวมคันที่1),จำนวนที่เกิดเหตุทั้งหมด(รวมคนเดินเท้า),รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,รถบรรทุกมากกว่า6ล้อไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ(รถพ่วง),อื่นๆ,จำนวนผู้เสียชีวิต,จำนวนผู้บาดเจ็บสาหัส,จำนวนผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ,ชั่วโมง,time_period,year,month,day,is_weekend,is_new_year,is_songkran,day_type,subdistrict_code
2026,กรมทางหลวง,นิคมคำสร้อย - หนองสูง,1.15,มุกดาหาร,ทางตรง+ไม่มีความลาดชัน,ขับรถย้อนศร,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,16.38133465,104.5446717,2,2,0,0,0,0,1,2,0,2,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวง,พญาเย็น - นครราชสีมา,139.7,นครราชสีมา,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.85307867,101.5786269,1,1,1,0,0,0,0,0,1,1,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวง,บ้านโป่ง - พร้าว,34.8,เชียงใหม่,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,19.08935245,98.98975161,2,2,0,0,0,0,1,0,1,1,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวง,บ้านหว้า - อุทัย,8.05,อยุธยา,,ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร,ชนเป็นมุมบริเวณทางแยก,แจ่มใส,14.32426402,100.6521598,2,2,1,0,0,0,0,1,0,1,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวงชนบท,แยกทางหลวงหมายเลข 409 (กม.ที่ 7+204) - น้ำตกทรายขาว,2.0,ปัตตานี,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,6.676034,101.128955,1,1,0,0,0,0,0,0,1,1,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวงชนบท,แยกทางหลวงหมายเลข 2365 (กม.ที่ 0+000) - บ้านโคกใบบัว,7.25,นครราชสีมา,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,,แจ่มใส,14.418414,102.28885,2,2,0,0,0,0,2,0,0,0,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวง,ห้าแยกฉลอง - กะรน,0.75,ภูเก็ต,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,ชนคนเดินเท้า,แจ่มใส,7.823737679,98.33422979,1,2,0,0,0,0,0,0,1,1,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวง,กลางสะพานมิตรภาพที่แม่สอด(เขตแดนไทย/พม่า) - แม่ละเมา,8.3,ตาก,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,16.72356007,98.58414039,2,2,1,0,0,0,0,0,0,0,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวง,พะเยา - สันต้นแหน,6.841,พะเยา,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,19.21317907,99.94911374,1,1,0,0,0,0,0,0,1,1,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
2026,กรมทางหลวง,ท่านางพรหม - จงเก,11.5,พัทลุง,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,7.468372491,100.1745562,1,1,0,0,0,0,0,1,0,1,0,ดึก (00:00 - 03:59),2026,1,1,0,1,0,new_year,000000
