ปีที่เกิดเหตุ,วันที่เกิดเหตุ,agency,province,presumed_cause,weather,latitude,longitude,deaths,serious_injuries,minor_injuries,total_injuries,hour,year,month,day,dayofweek,is_weekend,time_period,severity_level,is_new_year,is_songkran,is_dangerouse_7days,day_type,tambon
2026,2026-01-01,กรมทางหลวง,มุกดาหาร,ขับรถย้อนศร,แจ่มใส,16.38133465,104.5446717,1,2,0,2,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงมาก (เสียชีวิต),1,0,1,new_year,นิคมคำสร้อย
2026,2026-01-01,กรมทางหลวง,นครราชสีมา,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,14.85307867,101.5786269,0,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,คลองไผ่
2026,2026-01-01,กรมทางหลวง,เชียงใหม่,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,19.08935245,98.98975161,1,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงมาก (เสียชีวิต),1,0,1,new_year,แม่หอพระ
2026,2026-01-01,กรมทางหลวง,อยุธยา,ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร,แจ่มใส,14.32426402,100.6521598,0,1,0,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงปานกลาง (บาดเจ็บสาหัส),1,0,1,new_year,คานหาม
2026,2026-01-01,กรมทางหลวงชนบท,ปัตตานี,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,6.676034,101.128955,0,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,นาประดู่
2026,2026-01-01,กรมทางหลวงชนบท,นครราชสีมา,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,แจ่มใส,14.418414,102.28885,2,0,0,0,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงมาก (เสียชีวิต),1,0,1,new_year,โคกกระชาย
2026,2026-01-01,กรมทางหลวง,ภูเก็ต,เมาสุรา,แจ่มใส,7.823737679,98.33422979,0,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,ราไวย์
2026,2026-01-01,กรมทางหลวง,ตาก,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,16.72356007,98.58414039,0,0,0,0,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,แม่สอด
2026,2026-01-01,กรมทางหลวง,พะเยา,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,19.21317907,99.94911374,0,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,ดงเจน
2026,2026-01-01,กรมทางหลวง,พัทลุง,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,7.468372491,100.1745562,0,1,0,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงปานกลาง (บาดเจ็บสาหัส),1,0,1,new_year,ท่ามะเดื่อ
2026,2026-01-01,กรมทางหลวงชนบท,อ่างทอง,เมาสุรา,แจ่มใส,14.598688,100.39748,0,1,0,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงปานกลาง (บาดเจ็บสาหัส),1,0,1,new_year,หัวตะพาน
2026,2026-01-01,กรมทางหลวงชนบท,ลำพูน,ขับรถตามกระชั้นชิด,แจ่มใส,17.748127,98.959194,0,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,นาทราย
2026,2026-01-01,กรมทางหลวง,ราชบุรี,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,13.54380097,99.79604488,0,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,เจดีย์หัก
2026,2026-01-01,กรมทางหลวง,ปัตตานี,ขับรถเร็วเกินอัตรากำหนด,แจ่มใส,6.801153363,101.2072577,0,0,2,2,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,เกาะเปาะ
2026,2026-01-01,กรมทางหลวง,ร้อยเอ็ด,เมาสุรา,แจ่มใส,15.85785502,103.5773581,2,0,0,0,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงมาก (เสียชีวิต),1,0,1,new_year,หัวช้าง
2026,2026-01-01,กรมทางหลวงชนบท,แพร่,เมาสุรา,แจ่มใส,18.315718,100.168091,0,0,1,1,0,2026,1,1,3,0,ดึก (00:00 - 03:59),รุนแรงน้อย (บาดเจ็บเล็กน้อย/ทรัพย์สินเสียหาย),1,0,1,new_year,หัวเมือง
